DBT_F,Humidity_Ratio_lb_lb,Enthalpy_BTU_lb,Dew_Point_F
32,0.00037535819644498946,8.083588135683224,-13.628939094684652
33,0.0003908287834018728,8.34039576252379,-12.902424496607015
34,0.0004068231992700282,8.59778081744168,-12.178608445762388
35,0.00042339551496357544,8.855802207678888,-11.455740204865236
36,0.0004405636660539366,9.114480019321434,-10.733819312378943
37,0.00045834604575209004,9.373834863382582,-10.012845297298785
38,0.00047676151378304256,9.633887886384354,-9.292817679203692
39,0.0004958294053714519,9.894660781082521,-8.573735968310311
40,0.0005155695403392473,10.156175797336367,-7.855599665523557
41,0.0005360022323159346,10.418455753124286,-7.138408262489556
42,0.0005571482980624154,10.68152404570649,-6.422161241648692
43,0.0005790290669092609,10.945404662936157,-5.706858076285671
44,0.0006016663903101754,11.210122194720194,-4.992498230583553
45,0.0006250826515117835,11.475701844631207,-4.279081159673901
46,0.0006493007753404807,11.742169441671804,-3.5666063096904894
47,0.0006743442381076575,12.009551452193055,-2.855073117819197
48,0.0007002370776340981,12.277874991968316,-2.1444810123502487
49,0.0007270039033948307,12.547167838424173,-1.4348294127312433
50,0.0007546699067857065,12.817458443030278,-0.7261177296167128
51,0.0007832608715126742,13.08877594384948,-0.018345364920542354
52,0.0008128031841053654,13.361150178250417,0.688488288132894
53,0.0008433238445561927,13.634611695784216,1.3943838449573938
54,0.0008748504770863981,13.909191771227292,2.099341929553665
55,0.0009074113410407372,14.184922417792436,2.8033631744588945
56,0.0009410353419121041,14.461836400510045,3.506448220694199
57,0.0009757520424981472,14.739967249782078,4.208597717715111
58,0.0010115916741913397,15.019349275110788,4.909812323361195
59,0.001048585148404358,15.300017579004624,5.610092703802497
60,0.0010867640681330728,15.582008071064253,6.309439533492689
61,0.0011261607396586294,15.865357482250719,7.007853495115766
62,0.0011668081843912409,16.15010337933903,7.705335279535732
63,0.0012087401508577497,16.436284179559866,8.401885585748525
64,0.0012519911268351858,16.72393916543228,9.097505120828577
65,0.0012965963516331051,17.013108499790857,9.792194599881574
66,0.0013425918285268857,17.303833241010178,10.485954745990968
67,0.0013900143373452528,17.596155358430657,11.178786290172093
68,0.0014389014472141438,17.890117747988498,11.870689971318525
69,0.0014892915294606567,18.185764248054312,12.561666536154515
70,0.0015412237706795848,18.48313965548376,13.251716739184284
71,0.0015947381859662212,18.782289741884558,13.940841342643214
72,0.0016498756323185836,19.08326127010398,14.629041116447588
73,0.001706677822212629,19.386102010941155,15.316316838145141
74,0.0017651873373545793,19.69086076008933,16.002669292866035
75,0.0018254476426136528,19.99758735531212,16.688099273274503
76,0.0018875031001397014,20.306332693859336,17.372607579517496
77,0.0019513989836700285,20.617148750127612,18.056195019178812
78,0.00201718149302936,20.930088593570744,18.738862407226758
79,0.002084897768828367,21.245206406866323,19.42061056596769
80,0.0021545959073648708,21.562557504343726,20.101440324997057
81,0.0022263249757331306,21.882198350680117,20.781352521150282
82,0.0023001350271464865,22.204186579870772,21.46034799845365
83,0.0023760771164787814,22.528581014480462,22.138427608078008
84,0.0024542033160301767,22.85544168518268,22.81559220828831
85,0.0025345667315235867,23.184829850594223,23.49184266439676
86,0.002617221518337598,23.516808017412394,24.16717984871386
87,0.002702222897982849,23.851439960863082,24.841604640501632
88,0.002789627174827918,24.188790745467294,25.515117925924944
89,0.002879491753082347,24.52892674613517,26.18772059800394
90,0.002971875154043673,24.87191566959592,26.859413556566352
91,0.0030668370336163755,25.21782657617321,27.530197708200035
92,0.0031644382001105678,25.566729901915426,28.20007396620689
93,0.003264740632327956,25.918697481090046,28.869043250552586
94,0.0033678074979449613,26.273802569053835,29.537106487822516
95,0.003473703172200573,26.63211986550823,30.204264611172928
96,0.0035824932568987744,26.99372553815165,30.87051856028506
97,0.003694244599735009,27.358697246740228,31.535869281317485
98,0.003809025313956525,27.72711416756875,32.22467755712774
99,0.003926904798366946,28.099057018384343,32.97725776129277
100,0.004047953757686093,28.474608083746208,33.72935055347912
101,0.004172244223275603,28.853851240843984,34.48095615009066
102,0.004299849574242059,29.2368719857891,35.232074770991744
103,0.0044308445589303184,29.623757460394067,35.9827066394765
104,0.00456530531681824,30.01459647945355,36.732851982265565
105,0.004703309400826826,30.409479558543808,37.482511029509624
106,0.004844935800058365,30.808498942355868,38.23168402396938
107,0.004990264962976956,31.21174863357966,38.980371188308915
108,0.005139378821045537,31.619324422356087,39.728572769330405
109,0.005292360812834664,32.03132391631552,40.4762890111219
110,0.005449295908617656,32.44784657122022,41.223520161217884
111,0.00561027063546963,32.868993722231764,41.97026647060314
112,0.005775373102885437,33.294868615821734,42.71652819370706
113,0.0059446930289350835,33.72557644234785,43.46230558834599
114,0.006118321766973323,34.16122436931582,44.20759891596513
115,0.006296352332923409,34.6019215753508,44.95240844127703
116,0.0064788794331521555,35.047779284899505,45.69673443249527
117,0.006665999492958804,35.49891080368951,46.44057716128206
118,0.006857810685695619,35.955431554968015,47.18393690274068
119,0.007054412962543548,36.417459116547654,47.926813935417094
120,0.007255908082964642,36.885113258685834,48.669208541301245
